ID,Suburb,Address,Postcode,CouncilArea,Regionname,Price,SaleDate,Seller,Bedrooms,Bathrooms,CarSpaces,Landsize,Latitude,Longitude
198,Westmeadows,20/84 Hillcrest Dr,3049,Hume,Northern Metropolitan,500000,27/05/2017,Barry,3,1,2,141,-37.67941,144.8764
199,Jacana,12/1051 Pascoe Vale Rd,3047,Hume,Northern Metropolitan,390000,1/07/2017,YPA,2,1,1,165,-37.68582,144.91638
200,Broadmeadows,3/11 Martell St,3047,Hume,Northern Metropolitan,310000,17/06/2017,Barry,2,1,1,171,-37.68489,144.9212
201,Jacana,11/1051 Pascoe Vale Rd,3047,Hume,Northern Metropolitan,280000,16/04/2016,Raine,2,1,1,197,-37.6859,144.9164
202,Craigieburn,2 Andover La,3064,Hume,Northern Metropolitan,340000,27/05/2017,Ray,2,1,1,197,-37.57886,144.90817
203,Craigieburn,84 Royal Tce,3064,Hume,Northern Metropolitan,420000,27/05/2017,Ray,3,2,2,219,-37.57243,144.92663
204,Broadmeadows,1/124 Cuthbert St,3047,Hume,Northern Metropolitan,465000,1/07/2017,Barry,3,2,3,248,-37.68358,144.92387
205,Roxburgh Park,12 Simmonds Pl,3064,Hume,Northern Metropolitan,425000,3/06/2017,Ray,3,2,2,255,-37.63382,144.92774
206,Gladstone Park,1/96 Carrick Dr,3043,Hume,Western Metropolitan,452500,12/08/2017,Barry,3,1,0,259,-37.6974,144.8916
207,Craigieburn,7 Perisher Dr,3064,Hume,Northern Metropolitan,425000,24/06/2017,Ray,3,2,2,263,-37.57307,144.92513
208,Tullamarine,4/48 Banksia Gr,3043,Hume,Western Metropolitan,500000,1/07/2017,Jason,3,1,1,268,-37.70367,144.88081
209,Craigieburn,77 Huntington Dr,3064,Hume,Northern Metropolitan,430000,27/05/2017,Ray,3,2,1,280,-37.57056,144.91751
210,Tullamarine,1/6 Burvale Ct,3043,Hume,Western Metropolitan,555000,27/05/2017,Barry,3,2,2,286,-37.69728,144.87455
211,Westmeadows,26 Coghill St,3049,Hume,Northern Metropolitan,578000,1/07/2017,Jason,3,2,1,308,-37.67485,144.88995
212,Craigieburn,82 Bridgewater Rd,3064,Hume,Northern Metropolitan,365000,17/06/2017,Del,3,1,1,320,-37.60608,144.92841
213,Broadmeadows,48 Walsh St,3047,Hume,Northern Metropolitan,386000,8/07/2017,hockingstuart,3,1,1,341,-37.6886,144.92281
214,Roxburgh Park,12 Chesterville Ct,3064,Hume,Northern Metropolitan,500000,27/05/2017,Raine,4,2,2,383,-37.61132,144.92075
215,Greenvale,12 Taormina St,3059,Hume,Northern Metropolitan,550000,27/05/2017,Barry,3,2,2,392,-37.62458,144.88546
216,Craigieburn,40 Grove Rd,3064,Hume,Northern Metropolitan,548000,12/08/2017,Stockdale,4,2,2,400,-37.5951,144.9091
217,Craigieburn,42 Valiant Cr,3064,Hume,Northern Metropolitan,667500,12/08/2017,LJ,4,2,2,448,-37.59264,144.8985
218,Sunbury,60 Heysen Dr,3429,Hume,Western Metropolitan,420000,1/07/2017,Raine,3,1,2,466,-37.57282,144.70553
219,Craigieburn,27 Kensley Cct,3064,Hume,Northern Metropolitan,492000,24/06/2017,Ray,4,2,2,479,-37.57005,144.91909
220,Craigieburn,195 Newbury Bvd,3064,Hume,Northern Metropolitan,667000,3/06/2017,Ray,4,2,2,480,-37.57201,144.90897
221,Craigieburn,16 Bottlebrush Rd,3064,Hume,Northern Metropolitan,565000,12/08/2017,Ray,4,2,2,482,-37.57416,144.91269
222,Greenvale,21 Destination Dr,3059,Hume,Northern Metropolitan,840500,24/06/2017,YPA,4,2,2,494,-37.61424,144.88705
223,Westmeadows,285 Mickleham Rd,3049,Hume,Northern Metropolitan,540000,3/06/2017,Barry,3,1,2,532,-37.67949,144.88349
224,Campbellfield,33 Rainsford Tce,3061,Hume,Northern Metropolitan,445000,20/05/2017,Harcourts,3,1,2,534,-37.6741,144.9698
225,Gladstone Park,5 Clarke Dr,3043,Hume,Western Metropolitan,660000,17/06/2017,Barry,5,2,1,536,-37.6852,144.89853
226,Greenvale,17 Arkley Dr,3059,Hume,Northern Metropolitan,645000,17/06/2017,Barry,4,2,2,538,-37.6499,144.9013
227,Westmeadows,14 Devenish Ct,3049,Hume,Northern Metropolitan,410000,8/07/2017,Barry,3,1,2,542,-37.66948,144.90385
228,Gladstone Park,9 Dolphin Ct,3043,Hume,Western Metropolitan,625000,1/07/2017,YPA,3,1,2,544,-37.68541,144.88471
229,Greenvale,4 Lysterfield Dr,3059,Hume,Northern Metropolitan,800000,8/07/2017,LJ,5,3,2,544,-37.61079,144.90823
230,Broadmeadows,87 Academy Dr,3047,Hume,Northern Metropolitan,505000,27/05/2017,YPA,3,1,1,546,-37.67411,144.94677
231,Gladstone Park,305 Carrick Dr,3043,Hume,Western Metropolitan,691000,17/06/2017,Barry,5,2,3,551,-37.68329,144.89302
232,Gladstone Park,245 Carrick Dr,3043,Hume,Western Metropolitan,629000,12/08/2017,Barry,3,1,2,552,-37.68641,144.89826
233,Craigieburn,25 Jirrahlinga Tce,3064,Hume,Northern Metropolitan,600000,17/06/2017,Ray,4,2,2,560,-37.59943,144.91439
234,Gladstone Park,19 Osborne Av,3043,Hume,Western Metropolitan,749000,8/07/2017,Barry,4,2,2,561,-37.68269,144.88601
235,Meadow Heights,2 Navarre Ct,3048,Hume,Northern Metropolitan,467000,24/06/2017,Raine,3,1,1,565,-37.65702,144.92447
236,Gladstone Park,328 Carrick Dr,3043,Hume,Western Metropolitan,675000,17/06/2017,YPA,5,2,2,565,-37.68302,144.89327
237,Meadow Heights,23 Goodenia Cl,3048,Hume,Northern Metropolitan,440000,8/07/2017,YPA,3,1,2,570,-37.64769,144.91359
238,Broadmeadows,21 Graham St,3047,Hume,Northern Metropolitan,518500,1/07/2017,YPA,3,1,0,576,-37.69237,144.93144
239,Sunbury,17 Mudie Av,3429,Hume,Western Metropolitan,512500,8/07/2017,Raine,4,2,2,581,-37.57355,144.70854
240,Sunbury,1 Hume St,3429,Hume,Western Metropolitan,487000,8/07/2017,Leeburn,3,1,1,582,-37.58025,144.71759
241,Dallas,18 Berger St,3047,Hume,Northern Metropolitan,459000,15/07/2017,YPA,3,1,0,583,-37.67048,144.93992
242,Dallas,17 Hampden St,3047,Hume,Northern Metropolitan,408500,24/06/2017,Raine,3,1,2,584,-37.67159,144.94522
243,Sunbury,13 McComb St,3429,Hume,Western Metropolitan,410000,8/07/2017,Brad,4,2,2,587,-37.58231,144.69962
244,Dallas,50 Kaniva St,3047,Hume,Northern Metropolitan,310000,24/06/2017,Raine,3,1,1,595,-37.66648,144.93399
245,Jacana,25 Bliburg St,3047,Hume,Northern Metropolitan,495000,27/11/2016,YPA,3,1,2,598,-37.6878,144.9112
246,Jacana,147 Sunset Bvd,3047,Hume,Northern Metropolitan,350000,7/05/2016,Barry,3,1,2,600,-37.6866,144.9086
247,Jacana,16 Gavin St,3047,Hume,Northern Metropolitan,537000,18/03/2017,Barry,3,1,2,600,-37.6876,144.9095
248,Campbellfield,11 Bailey Ct,3061,Hume,Northern Metropolitan,368000,3/12/2016,Iconek,3,1,2,600,-37.6783,144.9672
249,Sunbury,1 Heysen Dr,3429,Hume,Western Metropolitan,410000,3/06/2017,Brad,3,2,2,600,-37.57686,144.71023
250,Jacana,15 Bliburg St,3047,Hume,Northern Metropolitan,460000,24/09/2016,Eview,3,1,1,601,-37.6889,144.9109
251,Greenvale,23 Wallace Dr,3059,Hume,Northern Metropolitan,830000,3/06/2017,RW,5,4,5,602,-37.65039,144.89948
252,Jacana,17 Bannister St,3047,Hume,Northern Metropolitan,618000,20/05/2017,YPA,4,1,2,604,-37.6875,144.9102
253,Jacana,58 Bliburg St,3047,Hume,Northern Metropolitan,421000,30/07/2016,Barry,3,1,1,607,-37.6864,144.9111
254,Jacana,39 Emu Pde,3047,Hume,Northern Metropolitan,551000,4/03/2017,YPA,3,1,0,610,-37.6885,144.9092
255,Sunbury,11 Bannermann St,3429,Hume,Western Metropolitan,580000,1/07/2017,Raine,4,2,2,613,-37.59501,144.70069
256,Coolaroo,11 Nareen Av,3048,Hume,Northern Metropolitan,515000,8/07/2017,Barry,4,1,0,616,-37.65879,144.9296
257,Gladstone Park,10 Ballard Cl,3043,Hume,Western Metropolitan,653000,24/06/2017,Barry,3,1,2,618,-37.6953,144.89837
258,Craigieburn,6 Vision Rd,3064,Hume,Northern Metropolitan,660000,1/07/2017,LJ,3,2,3,618,-37.59715,144.89656
259,Jacana,1 Robinson St,3047,Hume,Northern Metropolitan,611000,25/02/2017,Barry,3,1,3,624,-37.6862,144.913
260,Westmeadows,124 Raleigh St,3049,Hume,Northern Metropolitan,560000,27/05/2017,Raine,5,2,2,626,-37.67688,144.88996
261,Jacana,50 Emu Pde,3047,Hume,Northern Metropolitan,556000,24/06/2017,YPA,3,1,1,627,-37.68861,144.91065
262,Broadmeadows,8 Katandra Cr,3047,Hume,Northern Metropolitan,460000,8/07/2017,YPA,3,1,1,629,-37.67197,144.91896
263,Jacana,81 Johnstone St,3047,Hume,Northern Metropolitan,485000,8/04/2017,Barry,3,1,2,630,-37.6822,144.9108
264,Greenvale,65 Clare Bvd,3059,Hume,Northern Metropolitan,730000,27/05/2017,YPA,4,2,1,633,-37.63958,144.90267
265,Gladstone Park,10 Taunton Pl,3043,Hume,Western Metropolitan,635000,27/05/2017,YPA,4,2,2,634,-37.68368,144.88976
266,Broadmeadows,12 Ophir St,3047,Hume,Northern Metropolitan,374000,17/06/2017,Ray,3,1,2,635,-37.69248,144.93345
267,Sunbury,27 Holloway Cl,3429,Hume,Western Metropolitan,455000,17/06/2017,Raine,3,1,6,639,-37.56291,144.72848
268,Broadmeadows,37 Gosford Cr,3047,Hume,Northern Metropolitan,570500,15/07/2017,YPA,3,1,1,640,-37.68187,144.92421
269,Craigieburn,17 Chinnock Ct,3064,Hume,Northern Metropolitan,680000,24/06/2017,YPA,5,3,2,646,-37.59902,144.92517
270,Jacana,3 Fidge Ct,3047,Hume,Northern Metropolitan,600000,22/05/2016,Woodards,3,1,2,647,-37.6904,144.9121
271,Jacana,108 Sunset Bvd,3047,Hume,Northern Metropolitan,425000,16/04/2016,Barry,3,1,2,650,-37.687,144.9084
272,Greenvale,1 Chester Cl,3059,Hume,Northern Metropolitan,680000,3/06/2017,Barry,3,2,1,650,-37.64049,144.8846
273,Craigieburn,13 Brampton Cl,3064,Hume,Northern Metropolitan,515500,1/07/2017,RE,3,1,4,651,-37.60329,144.93948
274,Craigieburn,10 Huntingdale Ct,3064,Hume,Northern Metropolitan,506000,27/05/2017,Raine,6,2,2,655,-37.59052,144.93066
275,Jacana,17 Fidge Ct,3047,Hume,Northern Metropolitan,575500,8/07/2017,RW,2,1,1,662,-37.68988,144.91113
276,Westmeadows,12 Tylden Pl,3049,Hume,Northern Metropolitan,729000,12/08/2017,Nelson,3,1,1,672,-37.6784,144.88797
277,Westmeadows,63 Kenny St,3049,Hume,Northern Metropolitan,700000,12/08/2017,Barry,3,2,4,673,-37.67558,144.8976
278,Tullamarine,35 Finningley Dr,3043,Hume,Western Metropolitan,695000,27/05/2017,YPA,3,1,2,676,-37.69636,144.88265
279,Greenvale,5 Barmah Gra,3059,Hume,Northern Metropolitan,715000,24/06/2017,YPA,4,2,2,680,-37.61236,144.90753
280,Sunbury,68 Cornish St,3429,Hume,Western Metropolitan,455000,3/06/2017,YPA,3,2,2,690,-37.57456,144.71548
281,Jacana,34 Bliburg St,3047,Hume,Northern Metropolitan,650000,1/07/2017,YPA,4,1,1,692,-37.6876,144.91167
282,Broadmeadows,45 Cuthbert St,3047,Hume,Northern Metropolitan,616000,12/08/2017,YPA,3,1,1,695,-37.68489,144.93169
283,Broadmeadows,37 Stanhope St,3047,Hume,Northern Metropolitan,631000,15/07/2017,YPA,4,2,2,696,-37.68584,144.9315
284,Broadmeadows,38 Stanhope St,3047,Hume,Northern Metropolitan,632000,12/08/2017,Ray,3,1,4,697,-37.68557,144.93156
285,Tullamarine,19 Gordon St,3043,Hume,Western Metropolitan,895000,8/07/2017,Jason,4,2,2,700,-37.70598,144.87616
286,Meadow Heights,10 Castella Ct,3048,Hume,Northern Metropolitan,450000,8/07/2017,Barry,3,1,1,702,-37.66059,144.92006
287,Jacana,47 Lorraine Cr,3047,Hume,Northern Metropolitan,550000,12/08/2017,Morrison,3,1,2,704,-37.6845,144.90761
288,Jacana,7 Bessell Ct,3047,Hume,Northern Metropolitan,590500,27/05/2017,YPA,3,1,1,708,-37.68825,144.91484
289,Greenvale,69 Greenvale Dr,3059,Hume,Northern Metropolitan,770000,27/05/2017,RW,3,2,2,711,-37.64297,144.88796
290,Jacana,17 Sunset Bvd,3047,Hume,Northern Metropolitan,472500,28/05/2016,YPA,2,1,2,729,-37.6909,144.9136
291,Westmeadows,14 Duncan Ct,3049,Hume,Northern Metropolitan,675000,8/07/2017,Barry,4,2,4,744,-37.6815,144.87892
292,Greenvale,23 Fraserburgh Cr,3059,Hume,Northern Metropolitan,783000,8/07/2017,Barry,4,2,2,750,-37.64163,144.90493
293,Craigieburn,13 Aston St,3064,Hume,Northern Metropolitan,665000,1/07/2017,RE,4,2,2,756,-37.58885,144.90135
294,Craigieburn,1 Consort Pl,3064,Hume,Northern Metropolitan,615000,12/08/2017,YPA,4,2,2,756,-37.5729,144.93663
295,Tullamarine,3 Henderson Rd,3043,Hume,Western Metropolitan,821000,1/07/2017,Jason,4,1,6,763,-37.69048,144.87312
296,Campbellfield,7 Keown Ct,3061,Hume,Northern Metropolitan,455000,3/12/2016,YPA,3,1,1,766,-37.6804,144.9664
297,Greenvale,13 Ambleside Rd,3059,Hume,Northern Metropolitan,770000,24/06/2017,YPA,3,2,2,775,-37.64385,144.89221
298,Fawkner,16 Janice Ct,3060,Hume,Northern Metropolitan,538000,18/06/2016,Nelson,3,1,4,789,-37.6912,144.9623
299,Sunbury,20 Miller St,3429,Hume,Western Metropolitan,535000,27/05/2017,Brad,4,2,2,808,-37.58089,144.72183
300,Sunbury,18 Timins St,3429,Hume,Western Metropolitan,650000,1/07/2017,YPA,3,3,1,852,-37.58689,144.72865
301,Greenvale,17 Bolton Ct,3059,Hume,Northern Metropolitan,750000,27/05/2017,Stockdale,5,2,2,877,-37.63823,144.88675
302,Gladstone Park,91 Carrick Dr,3043,Hume,Western Metropolitan,755000,27/05/2017,Jason,3,1,1,935,-37.69744,144.89073
303,Greenvale,29 Piccadilly Ct,3059,Hume,Northern Metropolitan,810000,24/06/2017,Jason,4,2,3,990,-37.6579,144.90523
304,Craigieburn,12 Surrey Ct,3064,Hume,Northern Metropolitan,716000,12/08/2017,Stockdale,3,2,6,1005,-37.60574,144.92548
305,Sunbury,64 Station St,3429,Hume,Western Metropolitan,755000,24/06/2017,Brad,3,1,2,1011,-37.58419,144.73188
306,Greenvale,7 Murray Ct,3059,Hume,Northern Metropolitan,1170000,3/06/2017,Barry,5,3,5,1750,-37.65439,144.89113
307,Wantirna,7/3 Ashley St,3152,Knox,Eastern Metropolitan,450000,1/07/2017,Prof.,2,2,2,74,-37.84646,145.22591
308,Wantirna South,12/440 Stud Rd,3152,Knox,Eastern Metropolitan,622000,15/07/2017,Ray,3,1,1,137,-37.87615,145.23192
309,Bayswater,1/20 Kumala Rd,3153,Knox,Eastern Metropolitan,520000,8/07/2017,Ray,2,1,1,158,-37.845,145.25624
310,Bayswater,18B Orchard Rd,3153,Knox,Eastern Metropolitan,640000,1/07/2017,Fletchers,3,2,1,187,-37.83909,145.26075
311,Wantirna South,10/1401 High Street Rd,3152,Knox,Eastern Metropolitan,570000,8/07/2017,Ray,3,1,1,190,-37.87638,145.2313
312,Ferntree Gully,2 Clendon Rd,3156,Knox,Eastern Metropolitan,664000,8/07/2017,Ray,3,2,1,219,-37.8798,145.2775
313,Ferntree Gully,4/4 Austin St,3156,Knox,Eastern Metropolitan,670000,27/05/2017,Philip,3,2,2,239,-37.886,145.28646
314,Bayswater,4/22 Grandview Gr,3153,Knox,Eastern Metropolitan,720000,12/08/2017,RW,3,2,2,255,-37.84633,145.26267
315,Boronia,1/347 Boronia Rd,3155,Knox,Eastern Metropolitan,740000,12/08/2017,Barry,4,2,2,261,-37.85784,145.26022
316,Bayswater,12 Pindari Dr,3153,Knox,Eastern Metropolitan,860000,3/06/2017,Ray,4,3,2,304,-37.8543,145.25253
317,Ferntree Gully,24a Helen Rd,3156,Knox,Eastern Metropolitan,617000,27/05/2017,Schroeder,2,2,1,306,-37.87275,145.26325
318,Wantirna South,6/17 Pach Rd,3152,Knox,Eastern Metropolitan,778000,8/07/2017,Prof.,3,2,2,306,-37.85605,145.24496
319,Rowville,240 Dandelion Dr,3178,Knox,South-Eastern Metropolitan,622000,3/06/2017,Ray,3,1,1,372,-37.91655,145.26933
320,Bayswater,1/20 Church St,3153,Knox,Eastern Metropolitan,520000,17/06/2017,Schroeder,2,1,1,418,-37.83777,145.26345
321,Wantirna South,14 Riverpark Dr,3152,Knox,Eastern Metropolitan,1180000,24/06/2017,Ray,6,2,2,453,-37.87309,145.23078
322,Rowville,15 Ada St,3178,Knox,South-Eastern Metropolitan,1005800,17/06/2017,Jellis,4,2,2,502,-37.92985,145.25184
323,Bayswater,17 Orange Gr,3153,Knox,Eastern Metropolitan,700000,3/06/2017,Biggin,3,2,1,509,-37.84823,145.26673
324,The Basin,325 Forest Rd,3154,Knox,Eastern Metropolitan,477000,8/07/2017,Ray,3,1,1,518,-37.85971,145.31036
325,Rowville,18 Yvette Dr,3178,Knox,South-Eastern Metropolitan,860000,8/07/2017,Harcourts,3,2,2,537,-37.92778,145.24796
326,Wantirna South,53 Somes St,3152,Knox,Eastern Metropolitan,1015000,1/07/2017,Ray,3,2,2,550,-37.88695,145.21891
327,Rowville,2 Wallingford Pl,3178,Knox,South-Eastern Metropolitan,755000,15/07/2017,Harcourts,3,2,2,551,-37.94266,145.24662
328,Scoresby,5 Drysdale Ct,3179,Knox,Eastern Metropolitan,870000,12/08/2017,hockingstuart,3,2,2,590,-37.89628,145.22294
329,Knoxfield,8 Mistletoe Cl,3180,Knox,Eastern Metropolitan,1010000,27/05/2017,Noel,4,2,2,620,-37.88308,145.24953
330,Knoxfield,22 Watersedge Cl,3180,Knox,Eastern Metropolitan,1040000,15/07/2017,Ray,4,2,2,633,-37.88214,145.25058
331,Wantirna South,1 Riverpark Dr,3152,Knox,Eastern Metropolitan,1055000,8/07/2017,Ray,4,2,2,652,-37.87325,145.23244
332,Rowville,45 Severn Cr,3178,Knox,South-Eastern Metropolitan,936000,8/07/2017,HAR,4,2,2,675,-37.91692,145.25896
333,Boronia,34 Russell Cr,3155,Knox,Eastern Metropolitan,820000,8/07/2017,Philip,4,2,4,719,-37.86434,145.25739
334,Boronia,8 Darwin Rd,3155,Knox,Eastern Metropolitan,775000,8/07/2017,Ray,3,1,2,720,-37.86126,145.25808
335,Rowville,3 Barwon Ct,3178,Knox,South-Eastern Metropolitan,735000,15/07/2017,Barry,3,2,1,721,-37.91713,145.24706
336,Wantirna,6 Deauville Ct,3152,Knox,Eastern Metropolitan,1000000,24/06/2017,Barry,4,2,1,722,-37.85848,145.23982
337,Boronia,3 Devenish Rd,3155,Knox,Eastern Metropolitan,785000,15/07/2017,iTRAK,3,2,2,723,-37.85284,145.26942
338,Boronia,10 Weyburn Rd,3155,Knox,Eastern Metropolitan,706500,3/06/2017,iTRAK,3,2,3,723,-37.83883,145.28893
339,Rowville,71 Kellbourne Dr,3178,Knox,South-Eastern Metropolitan,860000,24/06/2017,Fletchers,4,2,0,725,-37.9088,145.26319
340,Rowville,38 Armstrong Dr,3178,Knox,South-Eastern Metropolitan,970000,12/08/2017,Harcourts,5,3,2,725,-37.92739,145.25705
341,Rowville,4 Richard Ct,3178,Knox,South-Eastern Metropolitan,1275000,17/06/2017,Ray,4,2,2,726,-37.92502,145.23939
342,Wantirna South,42 Argyle Wy,3152,Knox,Eastern Metropolitan,1045000,15/07/2017,Noel,4,3,2,728,-37.88009,145.22736
343,Scoresby,147 George St,3179,Knox,Eastern Metropolitan,833800,24/06/2017,Barry,3,1,0,730,-37.88919,145.21629
344,Boronia,27 Helene Ct,3155,Knox,Eastern Metropolitan,783000,3/06/2017,Barry,4,1,3,730,-37.87377,145.28688
345,Wantirna South,11 Henry Rd,3152,Knox,Eastern Metropolitan,1160000,24/06/2017,Ray,3,1,4,733,-37.87105,145.23872
346,Rowville,11 Jindalee Cl,3178,Knox,South-Eastern Metropolitan,870000,1/07/2017,Harcourts,5,2,2,733,-37.91894,145.24305
347,Wantirna,509 Boronia Rd,3152,Knox,Eastern Metropolitan,1214000,15/07/2017,Ray,4,1,2,734,-37.85209,145.24268
348,Ferntree Gully,32 Elton Rd,3156,Knox,Eastern Metropolitan,663500,3/06/2017,Harcourts,3,1,2,736,-37.88909,145.26935
349,Ferntree Gully,42 Bryden Dr,3156,Knox,Eastern Metropolitan,850000,15/07/2017,Noel,4,2,1,738,-37.89863,145.26708
350,Bayswater,15 Clifford St,3153,Knox,Eastern Metropolitan,705000,27/05/2017,Biggin,4,2,4,765,-37.854,145.2565
351,Boronia,12 Briar St,3155,Knox,Eastern Metropolitan,780000,3/06/2017,Appleby,4,2,2,820,-37.87393,145.28858
352,Ferntree Gully,50 Carlisle Rd,3156,Knox,Eastern Metropolitan,1100000,17/06/2017,Schroeder,5,3,2,836,-37.8801,145.26011
353,Knoxfield,8 Markhill Pl,3180,Knox,Eastern Metropolitan,1218000,27/05/2017,Ray,4,2,2,900,-37.87695,145.2547
354,Bayswater,15 Edinburgh Rd,3153,Knox,Eastern Metropolitan,900000,8/07/2017,LJ,5,2,2,942,-37.85721,145.26305
355,Ferntree Gully,7 Austin St,3156,Knox,Eastern Metropolitan,740000,22/07/2017,Stockdale,3,1,2,968,-37.88523,145.28553
356,Boronia,39 Lockwoods Rd,3155,Knox,Eastern Metropolitan,642000,1/07/2017,Stockdale,3,2,2,968,-37.84674,145.29351
357,Bayswater,32 Kumala Rd,3153,Knox,Eastern Metropolitan,930000,3/06/2017,Noel,5,2,2,992,-37.84613,145.25606
358,Bayswater,95 Orange Gr,3153,Knox,Eastern Metropolitan,925000,17/06/2017,Biggin,4,1,10,993,-37.84688,145.25632
359,The Basin,65 Government Rd,3154,Knox,Eastern Metropolitan,551200,1/07/2017,iTRAK,3,1,2,1007,-37.86387,145.31762
360,Ferntree Gully,41 Trafalgar St,3156,Knox,Eastern Metropolitan,805000,3/06/2017,Harcourts,3,1,2,1008,-37.89879,145.28866
361,Ferntree Gully,11 Aitken Ct,3156,Knox,Eastern Metropolitan,904000,12/08/2017,LJ,3,1,3,1014,-37.88472,145.26653
362,Ferntree Gully,5 Bruce Cr,3156,Knox,Eastern Metropolitan,748888,15/07/2017,Ray,4,2,4,1014,-37.88189,145.29148
363,Scoresby,17 Gilbert Ct,3179,Knox,Eastern Metropolitan,1000000,8/07/2017,Ray,3,2,2,1088,-37.89385,145.23848
364,Bayswater,7 Huxley Ct,3153,Knox,Eastern Metropolitan,1030000,24/06/2017,Philip,4,2,2,1094,-37.85757,145.2615
365,Scoresby,72 Arnold Dr,3179,Knox,Eastern Metropolitan,1040000,22/07/2017,Purplebricks,4,2,2,1134,-37.89496,145.23404
366,Wantirna South,5 Henry Rd,3152,Knox,Eastern Metropolitan,2020000,17/06/2017,LLC,4,2,2,1183,-37.87104,145.23807
367,The Basin,14 Bayview Cr,3154,Knox,Eastern Metropolitan,610000,12/08/2017,iTRAK,3,1,0,1281,-37.863,145.30716
368,Wantirna,6 Magnolia St,3152,Knox,Eastern Metropolitan,1280000,3/06/2017,Harcourts,2,1,0,1670,-37.839,145.22143
369,Ferntree Gully,2 Francis Cr,3156,Knox,Eastern Metropolitan,1900000,8/07/2017,LJ,3,2,2,1869,-37.88096,145.29371
370,Boronia,10 Hansen Rd,3155,Knox,Eastern Metropolitan,950000,15/07/2017,iTRAK,4,2,4,2033,-37.86669,145.29959
371,Boronia,271 Scoresby Rd,3155,Knox,Eastern Metropolitan,2020000,3/06/2017,Prof.,5,3,0,2735,-37.86625,145.26317
372,Footscray,10/30 Pickett St,3011,Maribyrnong,Western Metropolitan,170000,1/07/2017,Burnham,1,1,0,30,-37.80141,144.89587
373,Footscray,6/6 Rosamond Rd,3011,Maribyrnong,Western Metropolitan,455000,27/05/2017,Biggin,2,1,1,43,-37.78822,144.88361
374,West Footscray,3/30 Beaumont Pde,3012,Maribyrnong,Western Metropolitan,280000,15/07/2017,Jas,1,1,1,45,-37.80728,144.86702
375,Maidstone,6 Mandrel St,3012,Maribyrnong,Western Metropolitan,505500,17/06/2017,hockingstuart,2,1,1,59,-37.77824,144.87427
376,Yarraville,1/27 Stephen St,3013,Maribyrnong,Western Metropolitan,709500,27/05/2017,Jas,2,1,1,80,-37.81133,144.89553
377,Maribyrnong,21/9 Fabian Ct,3032,Maribyrnong,Western Metropolitan,530000,27/05/2017,hockingstuart,2,1,1,81,-37.77323,144.89268
378,Footscray,12/26 Park St,3011,Maribyrnong,Western Metropolitan,575000,12/08/2017,Nelson,2,2,1,88,-37.78872,144.88891
379,Maribyrnong,7 Cavalry Cct,3032,Maribyrnong,Western Metropolitan,640000,22/07/2017,Biggin,3,2,2,91,-37.77449,144.88011
380,Yarraville,3/367 Williamstown Rd,3013,Maribyrnong,Western Metropolitan,440000,8/07/2017,hockingstuart,2,1,1,100,-37.82356,144.88191
381,Seddon,2A Austin St,3011,Maribyrnong,Western Metropolitan,750000,1/07/2017,Jas,2,1,1,104,-37.80601,144.89663
382,Kingsville,3/14 Edgar St,3012,Maribyrnong,Western Metropolitan,570000,12/08/2017,Jas,3,1,1,118,-37.80857,144.87682
383,Seddon,1 Bute St,3011,Maribyrnong,Western Metropolitan,1315000,27/05/2017,Biggin,3,3,2,122,-37.80401,144.89519
384,West Footscray,5/2 Ormond Rd,3012,Maribyrnong,Western Metropolitan,700000,15/07/2017,Jas,3,2,2,125,-37.80735,144.87361
385,Maidstone,3/10 Greenham St,3012,Maribyrnong,Western Metropolitan,520000,1/07/2017,Jas,2,1,1,126,-37.78775,144.87446
386,Seddon,2/70 Windsor St,3011,Maribyrnong,Western Metropolitan,945000,29/07/2017,Village,2,1,1,126,-37.80473,144.89095
387,West Footscray,5/19 Waratah St,3012,Maribyrnong,Western Metropolitan,597000,27/05/2017,Jas,3,1,1,126,-37.80962,144.86877
388,Maidstone,3/25 Cathcart St,3012,Maribyrnong,Western Metropolitan,642500,12/08/2017,Biggin,2,2,1,126,-37.78458,144.88106
389,Footscray,18 White St,3011,Maribyrnong,Western Metropolitan,957000,29/07/2017,Jas,2,1,0,148,-37.79462,144.89385
390,Yarraville,89 Ballarat St,3013,Maribyrnong,Western Metropolitan,950000,3/06/2017,Jas,2,1,0,150,-37.81956,144.89054
391,Seddon,57 Charles St,3011,Maribyrnong,Western Metropolitan,830000,27/05/2017,Village,2,1,1,152,-37.80697,144.8928
392,Seddon,57 Charles St,3011,Maribyrnong,Western Metropolitan,850000,1/07/2017,Village,2,1,1,152,-37.80697,144.8928
393,Yarraville,3/11 Fielding St,3013,Maribyrnong,Western Metropolitan,1120000,22/04/2017,hockingstuart,3,2,0,152,-37.811,144.8889
394,Braybrook,12/27 Marnoo St,3019,Maribyrnong,Western Metropolitan,560000,22/07/2017,Sweeney,3,1,1,158,-37.78893,144.84652
395,Maidstone,16A Madden St,3012,Maribyrnong,Western Metropolitan,798000,12/08/2017,Biggin,3,2,2,159,-37.78974,144.88143
396,Maidstone,1/1 Clarendon St,3012,Maribyrnong,Western Metropolitan,650000,8/07/2017,Jas,3,2,2,159,-37.78502,144.86733
397,Maidstone,1/1 Clarendon St,3012,Maribyrnong,Western Metropolitan,670000,29/07/2017,Jas,3,2,2,159,-37.78502,144.86733
